Filename,GT_male_ducks,Pred_Male,GT_female_ducks,Pred_Female_duck,Total_GT,Total_pred
Scott/2002/figures/MapTR030302andoverlap_x0_y0.png,0,0,0,0,0,0
Scott/2002/figures/MapTR020302_x0_y0.png,0,3,0,1,0,4
Scott/2002/figures/2002eider3min_x0_y0.png,0,9,0,0,0,9
Scott/2002/figures/2002eider3min_x1024_y0.png,0,0,0,2,0,2
Scott/2002/figures/2002eider3min_x2048_y0.png,0,0,0,0,0,0
Scott/2002/figures/2002eider3min_x0_y1024.png,0,9,0,0,0,9
Scott/2002/figures/2002eider3min_x1024_y1024.png,0,0,0,1,0,1
Scott/2002/figures/2002eider3min_x2048_y1024.png,0,0,0,0,0,0
Scott/2002/figures/2002eider3min_x0_y2048.png,0,0,0,0,0,0
Scott/2002/figures/2002eider3min_x1024_y2048.png,0,0,0,0,0,0
Scott/2002/figures/2002eider3min_x2048_y2048.png,0,0,0,0,0,0
Scott/2002/figures/COEItran1kmdensity_x0_y0.png,0,0,0,0,0,0
Scott/2002/figures/COEItran1kmdensity_x0_y1024.png,0,0,0,0,0,0
Scott/2002/figures/block map_x0_y0.png,0,0,0,4,0,4
Scott/2002/figures/MapTR010302_x0_y0.png,0,0,0,0,0,0
Scott/2002/figures/COEICompositegrid_x0_y0.png,0,4,0,8,0,12
Scott/2002/figures/COEICompositegrid_x0_y1024.png,0,0,0,0,0,0
Scott/2002/figures/MapTR010302and020302overlap_x0_y0.png,0,2,0,0,0,2
Scott/2008/photos/2008/26-Mar-08/IMG_8864_x0_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8864_x1024_y0.png,0,111,0,109,0,220
Scott/2008/photos/2008/26-Mar-08/IMG_8864_x2048_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8864_x0_y1024.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8864_x1024_y1024.png,0,76,0,92,0,168
Scott/2008/photos/2008/26-Mar-08/IMG_8864_x2048_y1024.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8863_x0_y0.png,0,0,0,1,0,1
Scott/2008/photos/2008/26-Mar-08/IMG_8863_x1024_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8863_x2048_y0.png,0,0,0,2,0,2
Scott/2008/photos/2008/26-Mar-08/IMG_8863_x0_y1024.png,0,0,0,7,0,7
Scott/2008/photos/2008/26-Mar-08/IMG_8863_x1024_y1024.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8863_x2048_y1024.png,0,0,0,2,0,2
Scott/2008/photos/2008/26-Mar-08/IMG_8858_x0_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8858_x1024_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8858_x2048_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8858_x0_y1024.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8858_x1024_y1024.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8858_x2048_y1024.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8856_x0_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8856_x1024_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8856_x2048_y0.png,0,0,0,0,0,0
Scott/2008/photos/2008/26-Mar-08/IMG_8856_x0_y1024.png,0,0,0,0,0,0
